"post_id"	"post_message"	"by"	"post_published_unix"	"post_lang"	"likes_at_posting"	"likes_count_fb"	"comments_count_fb"	"shares_count_fb"	"reactions_count"	"engagement_index"	"emoji"	"emnum"
"Reumatikerforbundet-2732273556812174"	"I samband med Internationella reumatikerdagen har du möjlighet att få svar på frågor om reumatism. Skriv upp fredagen 11 oktober klockan 14.00 i kalendern. För då har du chansen att chatta med reumatologen Ulla Lindqvist. https://www.netdoktor.se/reumatism/expertchattar/reumatologen-svara-pa-fragor-om-reumatiska-sjukdomar/"	"Reumatikerforbundet"	1570556227	"se"	11235	45	4	24	0	73	NA	0
"kvinnatillkvinna-10160227980627501"	"Våldtäkt övergrepp och slaveri – sexuellt våld skär som ett rakblad genom samhällen i krig. ❌ I dag på internationella dagen mot sexuellt våld i konflikt vill vi synliggöra att sexuellt våld sker varje dag och måste stoppas! Tillsammans med våra partnerorganisationer jobbar vi för att: ✔️ förebygga och förhindra barnäktenskap i flyktingläger ✔️ ge psykologiskt stöd till överlevare som alla bär på trauman ✔️ ge juridiskt stöd till överlevare för att de ska få upprättelse ✔️ utbilda om sexuellt våld i krig och kvinnors rättigheter ✔️ fler förövare ska ställas till svars. Sexuellt våld i krig och konflikt är ett allvarligt övergrepp och brott mot de mänskliga rättigheterna – det kan vi aldrig acceptera."	"kvinnatillkvinna"	1592557203	"se"	50914	73	3	14	38	128	"cross mark heavy check mark heavy check mark heavy check mark heavy check mark heavy check mark"	6
"mentorsverige-1913921695352420"	"#VAL2018 Idag finns stora skillnader mellan barns möjligheter att påverka sin framtid. Enligt Barnkonventionen ska alla barn ha samma rättigheter men det kan också betyda att villkoren måste utjämnas aktivt. Inga barn ska vara rädda för våld och kriminalitet i sin vardag – då är det svårt att fokusera på framtid och betyg! Vi måste tro på och stötta ALLA BARN! Vad gör ni åt saken? Socialdemokraterna Miljöpartiet de gröna Vänsterpartiet Centerpartiet Kristdemokraterna Nya Moderaterna Liberalerna Läs alla Mentors valkrav: https://mentor.se/politiker-darfor-maste-ni-satsa-pa-ungdomarna/"	"mentorsverige"	1535704823	"se"	9542	15	0	2	1	18	NA	0
"suicidezero-2416715715057769"	"Idag är det mors dag och vi tänker på alla som saknar en mamma eller ett älskat barn💚. Varje år tar ungefär 1 500 människor sitt liv. Det är fyra om dagen. Bland dem finns mammor söner och döttrar som lämnar en ofattbar sorg och saknad efter sig. Känner du någon som saknar en mamma eller ett barn – hör av dig. Skicka ett mess ring bjud på fika. Det är dom små omsorgerna som gör skillnad."	"suicidezero"	1558854001	"se"	61354	230	33	55	208	526	"green heart"	1
"greenpeace.sverige-10156911080521891"	"Vid den förra finanskrisen räddade vi bankerna – den här gången borde vi rädda människor och planeten. Det skriver Isadora Wronski Sverigechef Greenpeace. https://www.svd.se/styr-krispaketen-bort-fran-fossila-ekonomin"	"greenpeace.sverige"	1584639522	"se"	126290	780	6	193	65	1044	NA	0
"parasportSWE-1191953790870897"	"https://www.facebook.com/SWEParalympics/posts/1073643439377980"	"parasportSWE"	1471965816	"en"	3712	39	3	4	1	47	NA	0
"ThePerfectWorld-1226580540685500"	"Being a family means you are a part of something very wonderful. It means you will love and be loved for the rest of your life. http://gamerangersinternational.org/index.php/elephant-orphanage/"	"ThePerfectWorld"	1464521131	"en"	160310	895	22	297	94	1308	NA	0
"emmausstockholm-10156088272203392"	"EU måste agera mot Marocko gällande Västsahara! EU-parlamentarikerna Jytte Guteland(S) och Bodil Valero (MP) skriver i UNT i dag om hur de vill gå vidare gällande Västsahara efter att Marocko stoppade dem från att komma in i landet."	"emmausstockholm"	1509695834	"se"	3113	6	0	0	0	6	NA	0
"thehungerprojectse-3490763574283363"	"There is a lockdown that we all are aware of. But there is no lockdown on hope. Rita Sarin landschef för The Hunger Project India om våra utmaningar och möjligheter i och med spridningen av Coronaviruset."	"thehungerprojectse"	1587663056	"se"	6832	13	0	2	5	20	NA	0
"ActionAidSweden-10158252457143361"	"Mäns våld mot kvinnor ökar under kriser. I delar av Bangladesh har mäns våld mot kvinnor ökat med 983 procent. Var med och skapa förändring! Bli månadsgivare idag!"	"ActionAidSweden"	1594548812	"se"	15562	2	1	2	8	13	NA	0
"AnhorigasRiksforbund-672780049528014"	"Boka din plats på årets Anhörigriksdag i Varberg den 10-11 maj! Där träffar du bland annat Lisa Andersson som lär dig effektiv kommunikation Mathias Malte Hallquist som pratar relationer och Soheila Fors kvinnan som växte upp som adelsflicka i Iran blev gerillasoldat och i dag kämpar för att bryta utanförskapet för kvinnor som lever i hederskulturer. Varmt välkommen! För program och anmälan: http://axacoair.se/go?HsGdJMkO"	"AnhorigasRiksforbund"	1459943292	"se"	874	486	18	54	5	563	NA	0
"lakareutangranser-10155189786635787"	"Gränspolis i flera EU-länder använder våld för att hindra människor från att ta sig över gränsen från Serbien. Inte ens barn och unga skonas från den brutala behandlingen - av våra patienter i Serbien är över 80 procent pojkar under 18 år. Nästan alla berättar att polis begått övergreppen. Läs vår rapport från Serbien här: http://bit.ly/2xT0Q8n:=:https://lakareutangranser.se/vart-arbete/rapporter/games-violence?utm_source=Facebook&utm_medium=post&utm_content=RapportGamesViolence&utm_campaign=news"	"lakareutangranser"	1507138200	"se"	387984	160	41	70	304	575	NA	0
"barncancerfonden-986848031518999"	"Saga Lundin fick diagnosen osteosarkom när hon var 15 år. Cancern var obotlig och Saga berörde många när hon berättade öppet om sin cancer i sin blogg. Saga blev bara 17 år och vi möter henne och familjen i Barncancergalan på måndag kl 20.00. Stötta kampen mot barncancer genom att bli Barnsupporter redan idag: https://www.barncancerfonden.se/barnsupporter:=:https://www.barncancerfonden.se/jag-vill-bidra/bli-manadsgivare"	"barncancerfonden"	1538142300	"se"	121306	250	121	195	753	1319	NA	0
"emmausstockholm-10156160669938392"	"Just nu pågår nätverksträff för Västsahara med flera medverkande organisationer. Erik Hagen från norska Stöttekommittén för Västsahara berättar hur de blivit framgångsrika med att engagera unga inte minst ungdomspolitiker från alla partier i Västsaharafrågan."	"emmausstockholm"	1511611491	"se"	3115	22	0	4	0	26	NA	0
"greenpeace.sverige-152042621807984"	""	"greenpeace.sverige"	1442936647	"en"	96634	209	1	0	0	210	NA	0
"AMREFNordic-2502113216468205"	"SÖKES: Volontärer till Lidingöloppet på lördag!"	"AMREFNordic"	1556560266	"se"	992	4	0	0	2	6	NA	0
"foreningenfuruboda-1809633189083509"	"Sök höstens Assistentkurs på Furuboda folkhögskola i Yngsjö – 95% får garanterat jobb efter kursen. http://furuboda.org/2018/assistentkursen-sok-nu/ Det är stor efterfrågan på utbildad personal inom vård och omsorg. 95% av våra deltagare som läst Assistentkursen har fått jobb direkt efter utbildningen och arbetar idag inom vård och omsorg. Behovet av elevassistenter och personliga assistenter är stort. Kursen ger både dig som studerande goda möjligheter till ett arbete direkt efter studierna och höjer även kvalitén inom assistentyrket i samhället."	"foreningenfuruboda"	1529584595	"se"	1742	44	7	6	0	57	NA	0
"hjartlungfonden-10158370507093320"	"250 000 personer i Sverige lider av hjärtsvikt och för de svårast sjuka kan en hjärttransplantation vara den enda chansen till överlevnad. Bristen på donatorer är dock stor. Just nu pågår ett forskningsprojekt som går ut på att utveckla en mekanisk hjärtpump som kan få fler att överleva. För att lyckas behövs mer forskning. Och forskning kostar pengar."	"hjartlungfonden"	1593669636	"se"	39354	125	9	16	38	188	NA	0
"friskfri-1390542624465467"	"Efterlysning: BERÄTTA I INSIKT OM VAD SOM LÅG BAKOM ATT DU DRABBADES AV EN ÄTSTÖRNING. Sedan ett antal nummer har Insikt publicerar texter under vinjetten ”Min bakgrund”. Där har personer delat med sig av sina tankar om varför just de drabbades av en ätstörning. Nu söker vi fler texter om din historia bakom problem med mat och kropp. Som vanligt har vi ett fokus på vad som hjälpt en bli frisk och så småningom fri och här vill vi särskilt undersöka om bakgrunden också kan rymma en nyckel till tillfrisknande. Du kan skriva fritt eller svara på intervjufrågor via mejl. Kontakta redaktör Nike Linn på insikt@friskfri.se snarast om du är intresserad av att medverka."	"friskfri"	1592909885	"se"	7026	52	3	4	9	68	NA	0
"Reumatikerforbundet-2152034548169414"	"Ny ledtråd är på plats inom SLE-forskningen. I Reumatikervärlden nr 5 publicerades en artikel om det. Här kan du läsa artikeln. https://www.reumatikerforbundet.org/aktuellt/nyheter/viktig-ledtrad-pa-plats-inom-sle-forskningen/?fbclid=IwAR2b3C78-gG_LKZVkWehMT37IzczNk1peaPtlOIrDOH-Gz7el599Tw7bARc#.W_KEvnLbSho.facebook"	"Reumatikerforbundet"	1542620961	"se"	10643	120	0	16	4	140	NA	0
"fralsningsarmen-2534016366641198"	"Varje dag begås brott mot mänskligheten. Varje dag kränks det mänskliga värdet. Varje dag förminskas miljontals människor till något ovärdigt till produkter i en slavhandel där de köps och säljs som handelsvaror. Idag är det Frälsningsarméns internationella bönedag för människohandelns offer! 🙏❤️"	"fralsningsarmen"	1569139501	"se"	22207	43	1	14	7	65	"person with folded hands heavy black heart"	2
"viskogen-10155886633742211"	"Hurra! Vi-skogen har fått finansiering från EU för ett spännande projekt i Kenya och Tanzania! Projektet går ut på att bevara ekosystemet och främja hållbar utveckling för lokalbefolkningen i områdena Mara och Serengeti. Vi-skogens agroforestry-metod kommer leda till förbättrad inkomst för människorna som bor i området. Projektet syftar också till att skydda djurlivet och den biologiska mångfalden. Vi-skogens regionchef Lena Kalmelid berättar mer!"	"viskogen"	1516624155	"se"	62077	318	9	28	12	367	NA	0
"vasterasstadsmission-1592253230787547"	"Här står Rickard och håller låda... Har du också någon flyttlåda med saker undanstuvad i något förråd eller garage? Såna där saker som kan vara bra att ha men som i ärlighetens namn aldrig kommer plockas fram igen. Vi ger dina gamla prylar nytt liv i nya hem hos någon som verkligen behöver dem. Samtidigt hjälper vi människor i hemlöshet missbruk och andra utsatta situationer. Din flyttlåda kan göra stor skillnad för många Västeråsare!"	"vasterasstadsmission"	1500301560	"se"	5002	55	1	7	3	66	NA	0
"neurosweden-1905647146197269"	"Vad händer inom forskning och läkemedel mot ms? Hur är det att leva med ms? Fullt hus på öppen föreläsning på ABF-huset i Stockholm. Stort tack till överläkare Albert Hietala och diagnosstödjare Irene Nelson som föreläste! 👏👌⭐️"	"neurosweden"	1542737371	"se"	15182	62	3	1	2	68	"clapping hands sign ok hand sign white medium star"	3
"eskilstunastadsmission-947031812117633"	"Julen är en tid fylld av kärlek och omtanke. Vi blir så glada att se att det finns så mycket människor som bryr sig! Ikväll tackar vi för Biljetterna till en GUIF match för barnfamiljerna i Matlaget. Vi tackar Peugothuset Profeel och Sigma. Vi tackar även alla underbara människor som inte syns här på Facebook ni är många."	"eskilstunastadsmission"	1513963263	"se"	4863	85	4	1	3	93	NA	0
"savetheorangutan.sverige-1774827775870723"	"En två tre fyra ... nej vänta ... en två tre ... vart tog Siro vägen? En två tre fyra ... nej vänta ... Lyckligtvis känner barnvakten på Nyaru Menteng orangutangerna mycket bra - och de vet vem som de ska hålla ett öga på. Annars skulle det kunna vara en överväldigande uppgift att föra dessa ungdomar hem från Skogsskolan."	"savetheorangutan.sverige"	1523541602	"se"	10031	66	1	2	30	99	NA	0
"rightlivelihood-10158569166139879"	"TODAY IS THE DAY! Celebrate with us the amazing achievement of the 2019 #RightLivelihoodAward Laureates: ➡️ Aminatou Haidar ➡️ Guo Jianmei ➡️ Greta Thunberg ➡️ Davi Kopenawa / Hutukara Associação Yanomami Watch the Award Presentation LIVE at 19:30 (CET) ➡️ rightlivelihood.org"	"rightlivelihood"	1575464971	"en"	14443	89	17	43	18	167	"black rightwards arrow black rightwards arrow black rightwards arrow black rightwards arrow black rightwards arrow"	5
"linkopingsstadsmission.fb-1195643633846066"	"WOW HÖRRNI 800 följare på instagram idag! Tack till alla er som gillar läser och delar Stadsmissionens inlägg. Ni hjälper oss att nå ut till fler. Tillsammans bygger vi ett mänskligare samhälle. <3 #linköping #linköpingsstadsmission #linkopingsstadsmission #förettmänskligaresamhälle #stadsmissionen"	"linkopingsstadsmission.fb"	1480251359	"se"	4777	16	0	2	0	18	NA	0
"riksforbundet.fub-1904984316218417"	"Almedalen är igång! Vi inleder med funktionshinderrörelsens utfrågning av Vänsterpartiet och Ulla Andersson. #funkpol #pressapartierna"	"riksforbundet.fub"	1530439685	"se"	3349	46	0	4	1	51	NA	0
"sosbarnbyar-3318111851541784"	"I dag är det den internationella flyktingdagen. Ungefär fyra miljoner flyktingar har lämnat Venezuela varav cirka 25.000 är barn och unga utan vuxna med sig. Marco är en av dem han har tagit sig till Ecuador trots att gränsen är stängd och landet kräver visum. De här ungdomarna är extra utsatta i sin situation. SOS Barnbyar arbetar för att trygga deras nutid och framtid. Foto: Alejandra Kaiser"	"sosbarnbyar"	1592636462	"se"	46008	34	0	2	16	52	NA	0
"naturskyddsforeningen-10153938824946609"	"Nyhet – Bra Miljöval-märkta taxiresor. #BraMiljöval #Klimatmaxa"	"naturskyddsforeningen"	1461405604	"se"	151709	2360	105	277	113	2855	NA	0
"fondenforpsykiskhalsa-1830973866971768"	""	"fondenforpsykiskhalsa"	1538947806	"en"	1328	10	0	1	2	13	NA	0
"warchildsverige-2470900339824763"	"Ni har väl inte missat att fantastiska Peder Fredricson är ambassadör för War Child? ✨ Just nu är vi på plats på Jönköping Horse Show 🙌🏽 Kom förbi och säg hej och lär dig mer om vårt arbete. ♥️ #jhs19 #jönköpinghorseshow"	"warchildsverige"	1572428789	"se"	4519	12	0	0	6	18	"sparkles person raising both hands in celebration black heart suit"	3
"Afrikagrupperna-10163715035270696"	"– ProSavana är ett exempel på ett icke-inkluderande policyprogram som inte tar hänsyn till lokalbefolkningens förutsättningar behov eller viljor. Projektet skulle innebära ett massivt inflöde av privata investeringar i en agribusinessmodell med ensidigt fokus på storskaliga monokulturer främst för den externa exportmarknaden säger Gloria Jimwaga policyrådgivare på Afrikagrupperna till Mat och Klimat. Läs artikeln om det som skulle bli kontinentens största jordbruksprojekt i neokolonial modell men istället ledde till en av Moçambiques mest lyckade civilrättsliga kamper. #matsuveränitet http://matochklimat.nu/prosavana-mocambiques-lokalbefolkning-vann-kampen-mot-den-globala-sojaindustrin/"	"Afrikagrupperna"	1594891300	"se"	11146	37	1	2	4	44	NA	0
"FNforbundet-10153490957710825"	"Kambale är 7 år gammal och bor i DR Kongo. Hans favoritämnen är franska och matte men mest av allt älskar han fotboll! Genom gratis skolmat kan Kambale koncentrera sig på lektionerna och han drömmer om att utbilda sig till präst. Du kan vara med och stödja barn som Kambale!"	"FNforbundet"	1463044764	"se"	10775	32	0	9	1	42	NA	0
"UNICEF-Sverige-10155380033385951"	"Hurra! Nu är det klart - barnkonventionen blir svensk lag något vi kämpat för i över tio år! När lagen träder i kraft 2020 kommer den att stärka barns rättigheter och ge dem en starkare röst i samhället. Fantastiskt eller hur? Stort tack till alla er som är med och kämpar för barnen!"	"UNICEF-Sverige"	1528899926	"se"	314768	5452	112	707	650	6921	NA	0
"RaoulWallenbergAcademy-3451098564961718"	"Är du lärare och funderar på hur du bäst motiverar dina elever i en värld där valmöjligheterna tycks bli allt fler? Raoul Wallenberg Academys Lisa Gawell bjuder den 21 april in till MasterClass i ”Självledarskap som skapar skillnad” under SETT-dagarna. Där får du klarhet och verktyg för att utforska ditt eget självledarskap och stärka dina elever. Läs mer och anmäl dig här » https://bit.ly/2utYDlW"	"RaoulWallenbergAcademy"	1579775681	"se"	8467	44	2	3	4	53	NA	0
"ungcancer-1436664653064524"	"Den 20 maj Linneplatsen kl 11.00-17.00 kommer vi att finnas på plats under Göteborgsvarvet. Förutom att slå pärlrekord kommer SATS Sverige och HiYoga Göteborg bjuda på träning och yoga under bar himmel och alla är givetvis välkomna! Yogis ta gärna med er egen matta! 😀"	"ungcancer"	1495025457	"se"	152010	67	4	3	0	74	"grinning face"	1
"StiftelsenFriends-2245047148863304"	"Tack för alla fina kommentarer om Snällkalendern 💛 Härligt att så många vill vara med och sprida goda handlingar! En god nyhet i år är att vi erbjuder gratis extramaterial för lärare med tips på enkla och roliga sätt att använda kalendern i klassrummet. Läs mer här: https://shop.friends.se/produkt-kategori/snallkalendern:=:https://shop.friends.se/produkt-kategori/snallkalendern/"	"StiftelsenFriends"	1540999224	"se"	76344	145	4	14	12	175	"yellow heart"	1
"VarldsnaturfondenWWF-10157351645179530"	"HURRA! POSITIVA ÅLNYHETER! Vi är väldigt glada över att Länsstyrelsen i Skåne nu ställer sig på den hotade ålens sida! Ål äts av tradition mest i Sydsverige och det är där motståndet mot fiskestopp har varit störst. 🌊Nu vill Länsstyrelsen i Skåne att regeringen förbereder sig på att lösa in de ålfiskelicenser som finns kvar! 🌊🌊Dessutom tycker de att Havs- och Vattenmyndigheten HaV är fel ute när de föreslår ett stopp i november-januari. Lägg istället stoppet i augusti-oktober för då gör det mest nytta tycker Länsstyrelsen. Det håller vi med om! (Tyvärr lyssnade inte HaV så stoppet blir i november-januari ...) 🌊🌊🌊Det är också positivt att EU bestämt om ålfiskestopp i hela EU och att förbudet även ska gälla för glasål. Förra året var många tveksamma till stoppet eftersom det inte gällde glasål och bara i Östersjön. Men WWF menade att det var ett steg i rätt riktning och det visade sig stämma! Vi jobbar för att ålfisket ska stoppas helt. Den senaste tidens utveckling visar att vi är på väg dit! Läs mer om ålens situation: https://www.wwf.se/djur/alar/ PS. Det är i ett remissyttrande till Havs- och vattenmyndigheten som Länsstyrelsen står upp för ålen."	"VarldsnaturfondenWWF"	1560245671	"se"	514495	426	16	25	22	489	"water wave water wave water wave water wave water wave water wave"	6
"fralsningsarmen-1302866403089540"	"Tack för det år som varit. Tack för de människor jag träffat. Tack för min familj. Tack för att varje dag är en ny dag. Tack för de jag får kalla vänner. Tack för att du finns! Amen."	"fralsningsarmen"	1483636921	"se"	13756	2426	42	87	87	2642	NA	0
"hjarnfonden-10157377102088811"	"Ödem ansamling av vätska i hjärnan bidrar till dödligheten av hjärntumörer. Patrik Andersson en av Hjärnfondens postdoktorala stipendiater vill hitta sätt att minska ödem så att fler liv kan räddas."	"hjarnfonden"	1590337651	"se"	33873	63	0	4	19	86	NA	0
"IslamicReliefSverige-921457914556137"	"Här är en film från det fantastiska initiativet Från barn till barn som Malmös Unga Muslimer genomförde första helgen i november. Barn i Malmö bakade pysslade och hade kul. Samtidigt hjälpte de syriska barn i Libanon som lever på flykt undan kriget genom att skänka intäkterna från försäljningen av sina bakverk till Islamic Relief. Pengarna går till vår verksamhet i Libanon som också finansieras av Världens barn där vi hjälper 1500 barn genom att förbättra deras psykosociala hälsa och stödja deras deltagande i utbildning. Stort tack till Malmö!"	"IslamicReliefSverige"	1447321460	"se"	8831	90	14	21	0	125	NA	0
"Blomsterfonden-1814010408679042"	""	"Blomsterfonden"	1531411725	"en"	1311	21	4	10	2	37	NA	0
